Record ID,Venue Name,Venue Type,Primary Tenant / Team,Sponsor Name,Country,City,State / Prefecture,Ownership Type,Opened Year,Capacity,Web Source URL (added),Research Notes (added)
SBJ-FULL-001,3M Arena at Mariucci,Arena / Indoor Venue,Minnesota Golden Gophers,3M,USA,Minneapolis,Minnesota,Public — University of Minnesota,1993.0,10000.0,https://en.wikipedia.org/wiki/3M_Arena_at_Mariucci,
SBJ-FULL-002,4Rivers Equipment Stadium,Stadium,"Northern Colorado Owlz, Northern Colorado Hailstorm, Northern Colorado Rain",4Rivers Equipment Co.,USA,Windsor,Colorado,Private — Future Legends LLC,2023.0,6500.0,https://en.wikipedia.org/wiki/Future_Legends_Complex,
SBJ-FULL-003,ABC Supply Stadium,Stadium,Beloit Sky Carp,ABC Supply Co.,USA,Beloit,Wisconsin,Private — Hendricks family / Hendricks Properties,2021.0,3850.0,https://en.wikipedia.org/wiki/ABC_Supply_Stadium,
SBJ-FULL-004,Access Communications Centre,Arena / Indoor Venue,Battlefords North Stars,Access Communications,Canada,North Battleford,Saskatchewan,Public — City of North Battleford,1962.0,2500.0,https://en.wikipedia.org/wiki/North_Battleford_Civic_Centre,
SBJ-FULL-005,accesso ShoWare Center,Arena / Indoor Venue,"Seattle Thunderbirds, Seattle Thunder, Tacoma Stars",accesso Technology Group,USA,Kent,Washington,Public — City of Kent,2009.0,6500.0,https://en.wikipedia.org/wiki/Accesso_ShoWare_Center,
SBJ-FULL-006,Acrisure Arena,Arena / Indoor Venue,Coachella Valley Firebirds,Acrisure,USA,Thousand Palms,California,Private — Oak View Group,2022.0,10500.0,https://en.wikipedia.org/wiki/Acrisure_Arena,
SBJ-FULL-007,Acrisure BounceHouse,,UCF Knights,Acrisure,USA,Orlando,Florida,Public — University of Central Florida,2007.0,44206.0,https://en.wikipedia.org/wiki/Acrisure_Bounce_House,Acrisure Bounce House = UCF football stadium (formerly FBC Mortgage Stadium). Distinct from #9 Addition Financial Arena (basketball).
SBJ-FULL-008,Acrisure Stadium,Stadium,Pittsburgh Steelers,Acrisure,USA,Pittsburgh,Pennsylvania,Public — Sports & Exhibition Authority of Pittsburgh and Allegheny County,2001.0,68400.0,https://en.wikipedia.org/wiki/Acrisure_Stadium,
SBJ-FULL-009,Addition Financial Arena,Arena / Indoor Venue,"UCF Knights, Orlando Valkyries",Addition Financial,USA,Orlando,Florida,Public — University of Central Florida,2007.0,10000.0,https://ucfknights.com/facilities/addition-financial-arena,Addition Financial Arena = UCF basketball arena (formerly CFE Arena). Distinct from #7 football stadium.
SBJ-FULL-010,adidas Timbers Training Center,Practice / Training Facility,Portland Timbers,Adidas,USA,Beaverton,Oregon,Private — Portland Timbers (Peregrine Sports LLC),2012.0,,https://www.timbers.com/news/timbers-open-new-adidas-training-center,
